lang,phonemes
no,t a o ʂ o b̞ uː l ʌ s ɴ n ɪ e ʂ u o b̤ ɾ lʲ ɪ æ n ʌ tʂ a
no,l a ʁ ʌ ð a tʂ ɛ b ɒ l̪ j ɯ ʂ uə x ʔ iː l̪ lʲ j iː
no,o n e s tʰ ɾ iː j o ʂ ʌ
no,t̪ʰ e ɾ d æ b̞ uə a ɾ ɪ ɾʲ i æ b ɪ ɴ ɲ i ɒ lʲ ʂ t ɻ̩ b i iː tʂ ʌ g ɾ ɒ m ә ɴ lʲ e
no,k͡p̚ r ɪ h ɔ l̪ m ɒ ɪ o s ɔ̃ ɴ ɒ b e ʃ iː o t̪ lʲ ɨ
no,j ɕ ʌ ɴ t̪ ә b ʌ lʲ ɒ j iː tʂ a m ɒ l̪ d ɯ l ɔ a
no,uə l̪ ɳ ɛ ɳ b̞ uə l̪ l ʌ k t̪ʰ ɪ ɛ k s ɛ n t̪ ɪ l̪ l a m ɒ
no,t̪ʰ ʌ n ə ɕ i m a t a o tʰ i k uə a n f uə m iː s t ɹ̩ t̪ʰ i p a ɴ d ɪ
no,t͡ʃʲ t ɛ m e lʲ iː k iː f o ɾ ɔ ɒ p a m uə tʂ uə
no,ɒ ɪ tʰ tʂ ɨ s n ɑ tʰ t i o l̪ k e j ʔ æ m d ɑ tʰ ɒ k͡p̚ ə b̞ ɒ
no,tʲ iː ʂ ɻ̩ t uə tɕ i o ʁ o ŋ n ɒ l b̞ e t͡ɕ i ɒ
no,w ʏ ɕ j ɤ ɛ n d iː ə ɕ i m f ɒ ɾ m uː tʂ ɹ uː l ɤ tʂ
no,ɒ t͡ʃ o uə iː ɴ tɕ i e ʔ uə d a ɪ e ɕ k j æ ŋ ɴ ɪ e k iː ɴ
no,j u æ n tɕ æ ɾ ʌ f ɹ̩ dʲ ɨ n l a j a l lʲ ɪ f
no,i ð æ k e n o l m o t ɾ ʌ e ʂ ɻ̩ uə n o p a o s k a f ʁ a g uə t uə b̤ ɪ
no,i k o s p ɾ a ŋ ɲ o f a m ʌ m ɪ k ə
no,s e tʂ e k͡p̚ a ɴ ʂ ɻ̩ ɒ ɾ uə ʔ a ɴ ɳ dʲ iː ʂ ɒ ɪ ɾ iː
no,t ɒ m ɒ ɾ i a ɴ ɒ o b̥ i ɾ a o k͡p̚ ʌ ɪ n ɒ n u v i t͡ɕ ʌ
no,d uə a o t a o ɒ t a ɪ i tʂ ʌ s̪ ʌ lʲ ɒ n j e tʂ ɹ̩ l ɒ o k͡p̚ iː t̪ʰ e p ʌ o
no,iː ʂ ɻ̩ s̪ œ ð ɻ uə k͡p̚ uə ʌ m uə ʁ tʂ a æ
no,ɾ ɒ n m e ə ð e ɾ e s ɔ k u x uə l p uə lʲ t e k̟ʲ ɪ m e æ ɴ ə m ʌ n
no,i m a l a l ɒ ɛ ɾ ɛ s ɛ lʲ iː k͡p̚ uə u b̤ a ɾ u tʂ ɒ d ɒ ɾ ɒ t̪ʰ ɒ
no,ʔ ij j æ n ɒ p k͡p̚ j e ɳ e j e t͡ɕ iː k o l̪ ɟ y ɴ ɒ ɳ ә t̪ʰ uə o
no,o ʁ n ʌ n o ɾ a lʲ ɪ ɡ ʌ lʲ iː i g e ɾ a ʁ uə n o s e tɕ iː t ʌ m ɒ
no,k ʌ ŋ̟ n tʂ ɹ̩ v a j d a w tʰ ə m a m ә s t ɹ̩ ɾ o l̪ v ɪ f uə t æ n
no,k e ɾ t ɪ tʰ a o b̞ i ð e t ɒ tʰ a ɪ ɾ ɒ a f uə e lʲ iː ŋ ɾ ɹ̩ ɕ iː s a n
no,iː d ɒ ɳ n ɛ s e t̪ ɪ b a ʂ ɻ̩ ɰ l̪ ә ɴ ɒ m ij j ɒ s a n ʂ ɻ̩ ɣ e ɪ t̪ a k uə œ ə s̪ t̪ ɛ n
no,æ n b̥ uə t͡ɕ i ə n f a ɪ ɴ o uə b̞ ə n d ɪ iː ɕ iː n ɒ l ɑ tʰ k ɒ n
no,ij j æ s̪ p iː ɕ iː ʂ ɒ t̪ j o ɾ ʌ ɒ
no,tʂ ɨ m a ɪ i d ʌ n o ð ʌ n s ɔ k̟ʲ ə n
no,tɕʰ ʏ n e ə n p ʌ s u n ə æ l a ɪ n s t ə t ə ʂ ə
no,ʔ ŋ̟ b̞ ɒ ɴ d i t̪ ɒ d a o v ɨ ð ʀ ɒ ɪ ʌ d i s̪ b a
no,t̪ ʊ b uː ɾ ʂ ɕ ɛ j æ ɖ̤ ɨ b iː ɳ d ɪ d ɒ ɾ ð æ ʌ ɾ ʂ t ɒ k uə k͡p̚ iː ʂ æ ɾ ɒ ә tʂ uə
no,b o ɕ i t a o tɕʰ y ɻ uə ŋ m e n p ɪ ɕ i æ n t̪ ʌ ŋ
no,n a ɪ i ð æ k e s v̞ʲ e s̪ ɨ e n t iː uə lʲ ɪ k a k̟ʲ e t̪ h ɒ
no,o s p e ɾ ɒ n ɨ e m o ʁ o t̪ e lʲ e ɛ t s ɪ k y n s m e lː o b ɾ u ŋ̟ n b̤ uə ɾ
no,e m a ɕ e a k o m e n s m a s i e n æ ʌ ɾ ɡ e s a ð a m o s t a tʂ e tʲ p ɾ
no,ɒ ɻ̩ ɾ k u ŋ b̞ i ɾ a ŋ k ʌ n o n l a m iː s̪ æ ɾ ɒ s o t ʌ
no,e l v̞ʲ iː s ɔ̃ a ʌ l b̞ j æ e ɴ p uə uː s̪ uː m o p o n d o tʂ m ʌ k e f uə ʂ ɒ ts ɒ ɾ e ɪ b̤ uə o m ʌ ɪ m ɒ
no,ɕ æ iː n ʏ l uə o ʀ a d o k ɾ ʌ ɳ n o v e ð ɪ
no,b ʌ k͡p̚ a m j e u s m u t̪ ð a ɾ
no,j ɒ j h o j d ʌ
no,w ɪ s ɑ p ɨ tʰ t ə lʲ i k l ɯ m ɪ ŋ ð a v æ ɾ ə g æ ð ij i ə n f
no,l e ts uə o lʲ ɪ m iː ɪ e a n a s lʲ a ɡ a m iː t ɪ uə a n ʌ m æ n o k ʌ
no,ʔ ɒ n o ɳ ɒ b̞ l ɒ h ɒ l̪ ә d ә n ʁ ɒ ʂ p uə t iː n ɒ l̪ lː e
no,m ʌ ɴ ʌ ɾ i t͡ɕ œ o ɾ ʂ o tʂ uə a ɒ ts ʌ n iː ɕ tʲ a ɳ ʁ o k a ʂ ɒ
no,n ɒ j ʔ æ n s̪ uə ʂ ɴ ɒ k ɒ l̪ ɴ
no,w ɨ ʔ ɒ ɾʲ ɪ tʰ ʏ b̞ ɒ l
no,d o uə t͡ɕ iː tʂ o ŋ ð ʌ
no,h u t i b̥ ʌ ɹ t ɯ j u lʲ ʌ v ɹ̩ ɑ n ɳ ʁ ə s t ɛ ɹ d ʌ
no,a n w a ɾ ɡ ɾ o lʲ iː tʂ e a ʂ ɒ m b i ɴ ɪ
no,m ɒ n o m o ʂ ɒ
no,ʌ k͡p̚ uə o m o m a b̞ iː ʂ iː ɴ ɒ s̪ i x a pʲ e f o t̪ m ɪ
no,ʁ w e s t a ʁ ʌ ɾ e m e ɾ e w a lʲ iː a ɾ
no,ʌ g iː ə ð ə m a tʂ o kʰ ɒ t a o p uə f e t m ɒ m ʌ n t ɨ t̪ ɪ
no,j o uə s̪ lʲ ɴ iː d ɒ ŋ f uə lʲ ɒ ɾ ɪ x o b̞ i e i ɒ f uə ɾ ɒ o ð iː a i e ð e n s ʂ i æ n
no,k ʌ t̪ ɒ t̪ ʌ mʲ e mʲ e ɳ b̞ uə l̪ ɾ a s̪ ɪ t̪ o ʐ o t uə tʂ ɾ ɻ̩ s lʲ a ð ʌ a ɾ e t̪ ɾ uə t͡ɕ i u
no,b ʏ j lʲ o ɴ n e kʰ o ʂ ɔ o n m a ɳ e k͡p̚ ɒ uə i
no,tʲ iː p uə a n l ɪ k o ɴ k e ɾʲ e a s m e æ a l̪ a b̞ a ð e ʂ o ð e l m o f e ʂ tʂ ɪ s t a n iː m a ð e ɾ f uə ɴ a
no,i a ɴ æ lʲ ʌ m tɕʰ ə h a ɴ k x ʁ uə mʲ ə m e s̪ uə a ɾ o d uə a m a
no,ʔ p uə t̪ d ʌ m ɒ h ɒ ɾ ʂ ɒ s p uə ʁ i
no,l i tɕʰ y ɾ j uə s̪ ɒ ɪ m uə tʰ o v e t e ɾ i tʂ e ʂ ə
no,ʏ b a ɾ k̟ʲ e ɾʲ iː t iː p a ɪ tʲ
no,ɒ d i d ɔ g
no,k͡p̚ e uə t̪ ʌ k ɒ o b̤ iː t͡ɕ ʌ
no,t͡ʃʲ ɛ s t ɪ ɾ m ɑ n h ɑ ɾ
no,h i tʲ ɪ k p ɹ ɾ i p ɛ t̪ t ə m ʌ v ɒ k ɑ l̪ t ə s ɪ z ə s
no,ɒ ɪ p ɾ o iː s̪ ð ɪ e ɾ lʲ ɪ s̪ o ŋ
no,tʰ o l̪ t͡ɕ j ɾ ɒ ɔ l̪ ә tʰ æ n ɪ ɾ s ɛ ɾ
no,ts æ ʔ a ʔ a ɳ n ɒ s ә m b ɒ ɾ ɒ ʔ b̞ uə a ɾ
no,ɒ ə n f ɪ l̪ l i ɪ n ð ə f ɛ k t
no,o s o n lʲ e ɪ e s̪ ɪ tʰ e æ ɾ t o s a ɴ ʌ p e j e t ɨ
no,lʲ m ɒ h a j d ɔ̃ l n uː
no,w ɒ t ʌ œ lʲ ʌ ɾ ʌ n ɪ e t a ʁ ʂ ɻ̩ ð uə s̪ ɪ
no,ʂ ʌ ɴ ʁ ɒ a ɴ tʂʰ o p e ɪ b̞ a tʂ ə l i tɕ iː tʂʰ iː uə o ɳ ɪ p a f uə ʂ ɻ̩
no,ɒ s̪ uə
no,lʲ ɪ p lʲ ɪ s lʲ æ i iː ɴ ð o s m æ a n lː a ɾʲ e k e s o ʁ ɛ s uə œ lʲ ɪ
no,iː t m iː e
no,lʲ æ a ɕ æ k iː ð f a m a n ɡ o uə ʁ t e m uə t uə a o k͡p̚ ɾ a o t ɒ h a ɾ
no,lʲ e m uː b̞ a ɾ ɒ d ә ɴ n o ɳ n i o s ɒ ð e x ɒ l̪ d i
no,uə m ɾ ɒ l i x a t ɒ m a n t͡ɕ y tʰ æ n ð e s̪ iː n
no,ʔ ɒ n d ɒ n m e m e ɾʲ iː m t̪ iː n iː s t̪ ɛ ɾ ɪ ŋ iː
no,i p uə o ð e ɪ kʰ o ŋ o tsʰ æ n b ʌ n d ʌ m ʌ n t ɪ s k e t͡ɕ æ ŋ
no,ʌ iː uə k a t ʌ
no,b̤ uə k͡p̚ o ŋ̟
no,ʔ ɒ j l̪ ɒ ij j e b ɒ ɴ t͡ɕ y ɾ o
no,t ə w e k i o
no,p ij j a ɻ̩ t ɨ f ʌ ə n ʌ ɴ d ɪ tʂ e ʂ ʌ ŋ d ɨ a m ә t ɪ f a l̪ ð e n ɒ
no,b ɔ l̪ l e k͡p̚ i ɤ̆ j i z ʌ ɴ l ɔ m
no,t̪ʰ ɒ b̤ uə o tʂ ʌ g l ɒ x a tʂ iː s ʁ e ð ʌ uə tʂ uə n ɪ s̪ p a
no,ɒ l a ɪ ɾ uə tʰ iː ɒ lʲ iː uə o d͡ʒ ʌ b̞ ʌ m e
no,b̞ ɛ n t ʝ a ɪ zʲ ɛ ɾ e ə lʲ i t ɹ̩ n b a l̪
no,t̪ʰ ɒ x ɒ ŋ k͡p̚ ʌ p ɾ i j ɒ o ʂ ɒ ʂ i ʀ ʌ k o ts o kʰ o t͡ɕ i o a
no,t͡ɕ a ɾ ɒ ɳ
no,ʔ ɒ s̪ ʌ n l a ɾ ɯ tʂ o uə t͡ʃ uː k e k͡p̚ ɔ l̪ m ɒ h ʌ ɴ iː
no,b ʌ ɴ ɳ iː i ð uə a ð e b̞ o tʂ iː k uə l a ð ɪ e o n a tʂ e ð e a
no,ɛ k s a ʂ ɻ̩ k iː s f e pʲ i ð iː ɴ o e lʲ n o p e n o tʂ uə
no,uə b l a ɕ ʏ m a l̪ iː t u tʂ uə o s n o f i o uə x u n a lʲ e s ɪ n ɴ d ɾ o s e tʲ æ a ʁ t i b̞ v e l ɪ
no,ɛ s̪ ɻ̩ ð i ð iː b̥ i t̪ ɾ ɨ t ɒ s ə t ɨ s ə ɒ l̪
no,t i b̞ i ə ŋ
no,m ɪ s t ɹ̩ k ʌ m l a j k l ɛ tʰ ts uː k l ɒ m ɨ l ə k ə l m i n ə s t ɹ i
no,l ɛ k ɔ l̪ t̪ʰ ɪ v lʲ ʌ ð ɹ̩ ɕ iː v̞ʲ j ɛ t̪ ɹ ɛ̃ n ɯ s k ɹ ɻ̩ ɹ s ә n ɑ tʰ
no,o ʂ ɻ̩ ʂ a ɪ n d æ n v ɒ l̪ uː s ʌ ɴ t̪ e ɾ ɹ̩ kʰ o b̤ e tʲ u
no,b̤ æ m ɒ l̪ m ә s ɛ tʂ w a b ɒ f e s iː s iː m æ ɳ d ʌ m ɒ ð e
no,x ɒ a b iː s k j iː ɾʲ j ʌ b̞ ɪ t d e ʂ ʌ n k͡p̚ o m e ɾ uə p uə ʂ a ɪ ɾ ə m ɪ n ɑ ɾ
no,f uə ɴ uə v e pʲ e s iː ɒ m a o g i ʌ j a e s t ʌ b̤ ʏ uə m iː t e
no,n ɒ o f ɪ k e lʲ ʌ t͡ɕ i ɒ ŋ m ɒ o p a ɪ uə ʔ ʌ
no,l ɒ x o i u b̞ a tʂ ɪ b̞ e l ð ɪ s p a ʁ m o ә s p ɾ iː n ɪ t o ð e s̪ o ŋ ʂ ʌ k o b̞ lʲ uə o b̞ lʲ e ɪ iː
no,b̞ i t̪ ɪ ɾ x a ɾ ʌ p a ʂ uə u ɴ tsʰ a ɪ ɾ d ɒ
no,ɪ o i ɛ s p uə e ɾ b̞ ɪ ɡ uə v i ð ɾ e tɕ i e l m a t͡ʃʲ ɻ̩ m uə t̪ e s ə b o ʋ t͡ɕ i a
no,r ɒ t͡ɕ ɨ m a t̪ʰ i j a ʁ u tʂ ɨ s̪ ɔ m ɒ j uə t̪ i b̤ ɤ
no,f a tɕ ʌ ɴ p uə l y ʂ ɻ̩ ʂ o ŋ m o s lʲ i l e
no,ʏ b̞ e lː i a n k a o
no,ɒ a o ð ə f iː ɴ p a o ɒ j uə t̪ uə ʂ ɻ̩ tʂ ʌ ð n a s̪ e ɪ k i
no,æ v e ɪ o m a ɪ e t a n ɳ ɨ p ʌ n a m e l ɡ l a f uə b̤ ɪ ɾ
no,tʲ iː l m e i n ɪ mʲ a ɴ n t a s l a o e i n e ʂ ɒ p a n ʂ æ ð ɪ l a t ɪ k
no,ts ɔ p m i l z h ɛ l ɪ tʰ iː ɒ l̪ ə d
no,ɔ uə ð ɒ s ɪ z m o t̪ e s k ɨ k uə o ð e æ s m a n e l e ɾʲ i m e n β a ð a
no,ʔ ɔ s ɒ l̪ t̪ uː d ɨ j o j o ŋ̟ p uə tʂ uə ɨ ɪ p ɾʲ ə b̞ ɒ o a ɪ
no,j a b̤ ɪ ɾ j e k ɪ b uə a ɾ ɒ ә s œ j e s ɒ
no,ɾ i s ɛ̃ n m i n ə s ɛ k s ə p θ ɛ n w ɛ l ə f ɔ tʰ
no,ʔ e l e ʂ ɔ ŋ̟ s̪ ɛ n ɒ k j iː b iː s̪ b o ʂ ә l ɒ ŋ k
no,ɨ t ə lʲ æ ɾ ə l iː f ɒ ә
no,tʂ uə tʂ e ə o uə n a
no,ɒ m ʌ ɡ ʌ v i t o ʀ o z ð e ʁ e b̞ e æ a ð a f ʏ ʂ u uə n e n e lʲ æ l j o uə ʁ t o s
no,l tʂ ɨ w ɑ l̪ ə l̪ b̥ a w ɹ̩ ɹ ð ɛ n d ɪ s k ɪ j ə v
no,n a ɒ ʌ z ʌ t ɑ k t ɒ ɾ b̥ ɛ ɾ ə s a j ŋ̟ mʲ æ s ɯ m i n iː p ɯ n s ɛ f t̪ʰ iː t ə uə
no,ʂ uə a k͡p̚ o ŋ m ʌ n t ʌ k iː tʰ ɒ o lʲ lː ɪ k uə ʂ ɻ̩ s t e m ʌ o dʲ i
no,ʔ ɒ uə ɕ i
no,ʔ ɒ ʂ ʌ f ʌ ɾ i a ŋ iː tɕ i iː ʂ ʌ e l i x æ n pʲ iː ʂ b̞ o b̞ iː e k a ɴ p ʌ l̪ ð ɪ
no,o tʂ e s̪ ɹ̩ p i ɴ tʂʰ ɻ̩ n iː tʂ a ŋ t ɾ ɒ uə u lʲ ɒ æ a tɕ i e k uə s
no,t͡ɕ ɒ ʁ k o ʂ ɻ̩ o ɪ s̪ e s k a ʂ ɒ m ɨ k ɪ
no,uə ɒ t͡ʃ s t̪ ɪ ɾʲ ɪ ŋ iː n ɒ s o w ð e j ɔ ɹ
no,ɪ tɕ ɪ a ɪ
no,ʂ ɻ̩ lʲ i ɒ n ɴ tʂ e k͡p̚ e d iː ɴ a ŋ ɴ ɒ o uə ə ɴ t a t͡ɕ i e ɴ tʂ o ɒ l ɒ o ʁ uə ʌ ɳ s̪ p a l̪ ɒ t̪ʰ uə
no,ɒ ɳ e a l lː œ ts uə ʌ n s̪ o ð uə s m ɪ l tʂ ɾʲ i
no,m ɒ n s̪ iː æ ɪ m i m iː tɕʰ i a ɒ ð ɒ
no,ʂ ɒ o ɾ ɒ o s̪ ɻ̩ ɴ ɒ s̪ m ɒ ts e a o tʰ o ŋ f ɔ ŋ ɴ uə tʂ ɒ n ɴ uə b̞ e s t uə ɡ uə ʌ n
no,t̪ʰ ɒ l ɒ mʲ ə n l o x a m a ə s̪ i s ɛ l e
no,s o s i j u ɾ ɒ n ɴ ð ɒ j æ n ɳ d ɔ g ʔ ʌ s t ə n o
no,ɔ̃ ɴ œ o tʂ ɻ̩ d ɒ j e lʲ ɪ ð e ð e a ɒ o b̞ l iː tʲ i ɒ a
no,ɒ z a tʂʰ ɒ m b̥ ɨ l̪ ð e ɾ uə ʁ
no,m ɒ l̪ s e t̪ e ɡ ɒ t̪
no,t͡ɕ ɒ lː ɪ kʰ a ɴ t͡ɕ y a w tʂ iː s̪ ɛ m uə s
no,t̪ o ð ɒ i p a l̪ lː ɪ ð iː tʲ ʌ k͡p̚ m o t a x ɔ o l̪ iː tɕ i b̞ a m ʌ ɴ a n t̪ i a
no,ə kʰ o m l ɪ tʂʰ ɒ ɻ̩ t e ɻ ʌ f l ʌ o d ɾ o m ɪ ŋ e l i s a b̞ e s t e
no,ʔ tʰ b̥ ɪ n s ɯ ɒ ɳ ɒ l̪ k͡p̚ ð ə ɾ ɒ s ə ʁ uː ɒ
no,b̞ a k̟ʲ iː ə s p ɪ x ə ð ə n s t u o v̞ʲ ɪ tʲ e ɾ ə
no,t͡ɕ ɨ ʁ ɒ k͡p̚ uː m i ʔ ʌ m a ɪ l a ʁ p i t̪ a ɳ ɛ a u ŋ̟ k͡p̚ a t͡ɕ ɒ
no,ɾʲ ɪ s k l a n a ɒ uə p t ɾ o tʰ i s̪ ɪ s t e æ a m e b̞ j e n d o uə s n e tʲ e o uə ʁ t uə
no,ɪ ɾ ɨ ə t̪ uə ɒ m ɒ i s o l̪ ð ɨ ə x uə ɒ ɻ̩ a o j a b iː ɕ iː k͡p̚ i iː æ ɛ ɾ iː ɟ ʌ ɾ uə
no,iː m iː ŋ lʲ e a ɳ u n k a ŋ m e lʲ ɪ ts ɹ̩ e f a ɾ iː n o lʲ ɪ tʂʰ uə
no,m a j
no,s̪ o i u ɴ n o uə ʂ ʌ m b ij j e ɾ ɒ ʁ tʂ ɹ̩ ʌ n
no,t ɨ m o ʂ t͡ɕ i æ b i tɕ i iː ʂ ɻ̩ tʰ uə f a ŋ t ɪ l a ɡ iː
no,ɒ ɟ ɨ ɒ s ɒ
no,tʂ ɪ s æ b̤ e ɾ
no,p ʔ uə s̪ ij iː j ɒ s̪ m a ɴ b̤ ʌ b̞ ʌ d͡ʒ iː b̞ ʏ dʲ ʌ æ ʂ e ʐ e
no,s o l̪ d ɒ ŋ s̪ pʲ iː l̪ ɒ ɴ ɒ s̪ uə tʰ uə p uə a n ʔ o ŋ̟ tʂ ɨ s m a w b̞ a
no,ɒ iː tʂʰ a o t ɹ̩ k uə ɹ̩ x œ ʂ ɒ t ɪ s̪ iː ɴ t ʌ t͡ʃʲ ɒ ʌ ŋ̟ ɕ iː
no,ɒ tʂ ә ə s̪ e
no,ð e m iː o s t o l s ɒ s o ɨ ʂ o ɾ ɴ n ʌ e lʲ e tʰ a v ɪ k
