lang,phonemes
de,d uːz ɔ l s tn ɔ xɛ t v a sl ɛ ʁ n ə n
de,n iː d ɐ ʃ l aː k
de,ʔ a n ʁ uː fb ə ʔ a n t v ɔ ɐ t n
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁa eː nəg uː t eːm ɛ ɐ ç nf oː ɐ
de,n ɛ n n əm ɪ ʁʔ aɪ̯ n ət s iː t a t
de,b ə g ɪ n ə n
de,p oː k eː m oː n
de,m a χ əʔ a n ʁ uː f əp ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,m uː t eː
de,d uːz ɔ l s tn ɔ xɛ t v a sm eː ɐl ɛ ʁ n ə n
de,v oːv ʊ ʁ d ɛ s td uːg ə m a x t
de,ʔ ɛ f f ɛ k t iː v iː t ɛː t
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁf ɔ n
de,ʃ p a eː ç ɛ ʁ s t a n t
de,v ɛ ç s l ət s uː ɐʔ a k t iː v iː t ɛː t
de,ʃ p iː l əd a sʔ a l b uː mn aː m ɛ n sh oː l eːm oː ʊ n t a ɪ n
de,f ɔ ʏ ç t ɪ ç k aɪ̯ t
de,n ɔ x ə ɪ n m a l
de,m a χ əf oː iː pm ɪ tp ʁ ɪ oː ʁ iː t ɛː t
de,t s ə ɪ g əvl a nb ɪ l t ʃ ɪ ʁ m
de,d eː l ə t ət əʔ aː l a ʁ m s‖
de,l ɪ s t əd iːt oː pm oː v iː ə st s ʊ mʔ a p ʃ p iː l ə n
de,l iː sm ɪ ʁa eː nsg ə ʃ ɪ ç t ə
de,ʃ a l t əa eː n
de,ʁ a n d oː m iː z iː ʁ eː
de,f ʁ aː z ə
de,h aː g ɛ l n
de,l iː sa eː nəsg ə ʃ ɪ ç t əf oː ɐ
de,ʔ ɛː ɐ t s ɛ la eː nsg ə ʃ ɪ ç t əf oː ɐ
de,l ɛ ʁ n ə n
de,ʔ a k t iː f iː ʁ eːa oː t oː m a t ɪ ʃ əl a oː t s t ɛ ʁ k ə
de,v oː h eː ɐ
de,ʃ t ɛ l l əd aɪ̯ n əʔ aʊ̯ g ŋh ɛ l l ɪ k k a eː t s
de,h ɛ l l əaʊ̯ f
de,h ɪ n t s uː f yː g ŋ
de,ɪ çʔ ɛː ɐ k l ɛ ʁ sd iː ɐ
de,l œ ʃ əʔ a k t iː v iː t ɛː t
de,z ɔ n ɪ ç
de,l a xv iːʔ aː l eː k s a
de,ʁ uː f eːʔ a n
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁa eː nsg ə ʃ ɪ ç t ə
de,v iː g ə n
de,ʔ a eː n h ɛ ŋ ə n
de,ʔ ɔ f f iː t s iː a l
de,ʔ aʊ̯ p l a eːt əs ɔ ŋn aː m eː th oː l eːm oː ʊ n t a ɪ nf ʁ oː mh oː l eːm oː ʊ n t a ɪ n
de,ʁ ɛ ç n ə
de,ʔ a oː m uː z iː k
de,ʔ ɛ n d ɐ əd aɪ̯ n əb ə l ɔ ɔʏ̯ ç t ʊ ŋ sp eː g eː l
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nm oː v iː ə st s ʊ mʔ a p ʃ p iː l ə n
de,g ə n eː ʁ a t s ɪ oː n
de,t s uː ʁ ʏ k z ɛ t s ə n
de,ʔ aʊ̯ p l a eːt əs ɔ ŋh oː l eːm oː ʊ n t a ɪ n
de,ʃ a l t əd iːb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,d ə ʔ a k t iː v iː ʁ ə n
de,ʃ a l t əd aɪ̯ n əb ə l ɔ ɔʏ̯ ç t ʊ ŋ sp eː g eː l
de,g eː b ən oː d əp ʁ ɪ oː ʁ iː t ɛː t
de,l a ɪ z ə
de,p ʁ eː t s iː z əm oː d eː l
de,d uːz ɔ l t ə s tɛ t v a sl ɛ ʁ n ə n
de,m a χ ən oː d ət͡s uːʔ a eː n ə mf a l l b a k
de,z oː ʊ n t
de,ʔ yː b ɛ ʁ p ʁ yː f əd iːn vf ɛ ɐ b ɪ n d ʊ ŋ
de,v ɛ ʁ p l a eː p ʔ ɛ n d eːt s a eː tf ɔ nt iː m ɐ
de,ʔ afm uː z iː kf ɪ n d əd a sv iː d eː oː
de,ʔ a n ʁ uː fʔ a oː f h ɛ ŋ ə n
de,d ə t a ɪ l l iː ʁ t əʔ ɪ n f ɔ ʁ m a t s ɪ oː n ə n
de,z ɔ n ə n ʔ ʊ n t ɐ g a ŋ
de,ʔ ɛː ɐ f a ʁ ʊ ŋ
de,t s a eː k vʁ ɛ s t ɪ ŋp aː g eːz ɛ t ɪ ŋ s
de,ʔ aʊ̯ p l a eːt əs ɔ ŋh oː l eːm oː ʊ n t a ɪ nb yːt əm uː z iː t s iː a n ss l ə ə p
de,ʔ ɛː ɐ t s ɛ la eː nsg ə ʃ ɪ ç t ə
de,g ə f ɔ ʁ m t
de,f ɔ ʁ t z ɛ t s ə n
de,d uːz ɔ l s tn ɔ xl ɛ ʁ n ə n
de,ʔ ɛ ɐ f aː ɐ n
de,l iː sa eː nsg ə ʃ ɪ ç t ə
de,ʃ t oː p əa l ət iː m ɐ
de,m aː s ə
de,v a nv ɪ ʁ t
de,ʔ ɛ n d ɐ əd iːʔ aʊ̯ g ŋh ɛ l l ɪ k k a eː t sp eː g eː l
de,m a χ əz ɪ pp ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,m a χ əz ɪ pʔ a np ʁ ɪ oː ʁ iː t ɛː tf ɛ ɪ k k ə iː t
de,f oː iː pn ɔ ɔʏ̯ s t a ʁ t
de,d ɛ m n ɛ ç s t
de,ʔ ɛː ɐ g ɛ n t s əaʊ̯ xm aː ld aɪ̯ n əa n t v ɔ ʁ t ə n
de,ʔ a fm uː z ɪ çv iː d eː oː
de,l iː sa eː nəsm ɛ ɐ ç n
de,z ʊ x əz ɪ s t eː m
de,z aː nd iː g oː
de,l iː sa eː nsg ə ʃ ɪ ç t əf oː ɐ
de,k a nd uːm ɪ ʁd a s‖
de,v ɪ s n
de,v ɛ ʁ p l a eː p ʔ ɛ n d eːt s a eː tf ɔ n‖
de,l øː z eːʔ a n ʁ uː f əa ʊ st s ʊ mʔ ɛ n d eː
de,d ʁ a t l oː s ə sn ɛ t s v ɛ ʁ k
de,g ə f yː l
de,ʔ ɛː ɐ aː z əa lʔ ɔ fʔ aː l a ʁ m s‖
de,t s a eː k vʁ ɛ s t ɪ ŋf aː t s əz ɛ t ɪ ŋ s
de,d ɪ m m ə n
de,ʔ ɛ f f ɛ k t iː f
de,b ə ʔ ɛ n d əz ɪ pʊ n t ə ʁ h a l t ə n
de,ʃ t a ʁ t əa eː nʃ p iː l
de,l øː z eːt eː l ə f oː na ʊ sf oː ɐd eː mʔ a n p a s z ə n
de,b ə v aː ʁ ə n
de,k v ɛ l n
de,ʔ a oː s t ɪ n
de,m a χ əʔ a n ʁ uː f əʔ af a l l b a ks k ɪ l l
de,f a ŋ ə n
de,l øː z eːf oː iː pa ʊ st s ʊ mʔ ɛ n d eː
de,ʔ a p b ʁ ɛ ç ə nf oː iː pp ʁ ɪ oː ʁ iː t ɛː t
de,d ə ʔ a k t iː v iː ʁ eːd iːa oː t oː m a t ɪ ʃ əl a oː t s t ɛ ʁ k ə
de,ʔ ɔ ʁ t eː
de,ʔ a fs ɔ ŋ
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁa eː nəm ɛ ɐ ç n
de,l ɪ s t əd iːb ə l iː p t ɛ s t ə nm oː v iː ə st s ʊ mʔ a p ʃ p iː l ə n
de,m a χ ət eː l ə f oː nʔ af a l l b a ks k ɪ l l
de,ʔ ɛ n t f ɛ ʁ n ən
de,t iː t l
de,l iː sa eː nəg uː t eːg ə ʃ ɪ ç t ə
de,t s uː f ɛ l l ɪ g ə sg ə l ɛ ç t ɐ
de,g ə ʁ ɛː t
de,ʔ ɛː ɐ ʃ t ɛ l l ə
de,z aː kd a sn ɔ xʔ a eː n m a l
de,ʔ a p b ʁ ɛ ç ə nʔ a n ʁ uː f əʊ n t ə ʁ h a l t ə n
de,a mʔ aɪ̯ n f a x s t n
de,ʔ af m uː z iː k
de,l ʊ f t f ɔ ɔʏ̯ ç t ɪ k k ə iː t
de,t s ɔ ʁ k
de,b ə ʔ ɛ n d əʔ a n ʁ uː f əʊ n t ə ʁ h a l t ə n
de,f a ʁ əm ɪ td eː mm ɛ ɐ ç nf ɔ ʁ t
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁa eː nəm ɛ ɐ ç nf oː ɐ
de,v a sz ɪ n tb ə l iː p t ɛ s t ə nm oː v iː ə sa k t uː ɛ lg ə ʃ p iː l t ə
de,d ʊ ʁ t s z ʊ x əd eː nk ɔ m p j uː t ɐn aː x
de,l iː sm ɪ ʁa eː ng uː t eːm ɛ ɐ ç nf oː ɐ
de,ʁ eː m oː v ət əʔ aː l a ʁ m s‖
de,n oː d əʁ eː tz ɔ lf oː ɐm ʏ t s ʁ ɔ f ta n t v ɔ ʁ t ə n
de,f yː ɐd ɪ ç
de,ʔ a fv iː d eː oː
de,g l yː b ɪ ʁ n ə n
de,f ɛː ɐ ʁ ʊ x t
de,ʊ n tz aː k
de,l øː z eːf oː iː pa ʊ st s uː l ɛ t s t
de,m a χ əz ɪ pʔ af a l l b a ks k ɪ l l
de,ʔ a ff ɪ n d əd iːm uː z iː k
de,b ə ʔ ɛ n d əz ɪ pp ʁ ɪ oː ʁ iː t ɛː t
de,z ʊ x əd iːt oː pm oː v iː ə st s ʊ mʔ a p ʃ p iː l ə n
de,v ɪ t s
de,f ɛ ɪ k k ə iː t
de,a oː t oː m a t ɪ ʃ əl a oː t s t ɛ ʁ k ɛ n m ɛ s z ʊ ŋ ə nl œ ʃ ə n
de,ʃ t oː p ət iː m ɐ
de,z ʊ x əb ə l iː p t əf ɪ l m ə
de,m a χ ən oː d əʁ eː tt͡s uːʔ a eː n ə mf a lb a ks k ɪ l l
de,d uːz ɔ l t ə s tl ɛ ʁ n ə n
de,ʔ ɪ n f oː s
de,l iː sa eː nəsm ɛ ɐ ç nf oː ɐ
de,ʔ ɛː ɐ t s ɛ lm ɪ ʁf ɔ nm a ɪ l
de,ʔ yː b ɛ ʁ p ʁ yː f əd iːʔ eː m iː l yːf ɛ ɐ b ɪ n d ʊ ŋ
de,v iːf iː lt s a eː tb l a eː p tn ɔ x
de,l ɪ s t ə n
de,f ɔ ɔʏ̯ ɐ ə
de,ʃ aː d ə n
de,v ɛ km ɪ çm ɔ ʁ g ə nb aɪ̯z ɔ n n eː n a oː f g a ŋ‖
de,l øː z eːz ɪ pa ʊ sf oː ɐd eː mʔ a n p a s z ə n
de,aɪ̯ n h aɪ̯ t
de,n ɔ ɔʏ̯ s t a ʁ tf oː iː p
de,ʔ ɛ n d ɐ əd aɪ̯ n əʔ aʊ̯ g ŋb ə l ɔ ɔʏ̯ ç t ʊ ŋ sp eː g eː l
de,t s a n t s lʔ aː l a ʁ m s‖
de,z aː km ɪ ʁ
de,g ə ʁ ɛː t ə
de,ʔ ɛ n t ʃ a eː d ə
de,v a sd ɛ ŋ k s td uːv a sɪ çg ə z aː k th aː b ə‖
de,a p l eː n ə n
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nf ɪ l m əʔ a k t ʊ l l ə
de,m a χ əf oː iː pp ʁ ɪ oː ʁ iː t ɛː t
de,f ʁ ɛ ç
de,ʔ ɛː ɐ g ɛ n t s əm aɪ̯ n əd iː a l oː g ə
de,ʃ a l t ə
de,n ɛ ç s t əʃ t ʊ n d ə n
de,v a s ɪ ŋ t oː ntç
de,ʔ aʊ̯ p l a eːt əs ɔ ŋh oː l eːm oː ʊ n t a ɪ nb yːt əm uː z iː t s iː a n sn aː m eː ts l ə ə p
de,b ɔ s t oː n
de,n aː t s ɪ oː n a l p a ʁ k s
de,t øː t eːd eː na l a ʁ m‖
de,ʔ ɛː ɐ g ɛ n t s əd aɪ̯ n əa n t v ɔ ʁ t ə n
de,t s uː k ʊ n f t
de,z ɪ ŋ əm ɪ ʁa eː nl iː t
de,t s a n t s lm yːʔ aː l a ʁ m s‖
de,ʔ ɛː ɐ t s ɛ la eː nəg uː t eːg ə ʃ ɪ ç t əf oː ɐ
de,g ə f yː l ə
de,k a n s td uːm ɪ ʁa eː nl iː tz ɪ ŋ ə n
de,ʔ ɛː ɐ t s ɛ la eː nsm ɛ ɐ ç nf oː ɐ
de,m a χ əf oː iː pʔ a np ʁ ɪ oː ʁ iː t ɛː t
de,v oːt uː n
de,f yː g eːh ɪ n t s uː
de,ʔ ɛː ɐ v ə iː t ɐ əd aɪ̯ n əd iː a l oː g ə
de,b øː z ə sg ə l ɛ ç t ɐ
de,v ɪ ʁ fv ʏ ʁ f eː l
de,ʃ a l t əd aɪ̯ n əh ɛ l l ɪ k k a eː t sp eː g eː l
de,ʃ t ɛ l l əd aɪ̯ n əb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,ʔ ʊ p d a t ə
de,m a χ ət eː l ə f oː nʔ a nf a l l b a ks k ɪ l l
de,l ɪ s t əd iːb ɛ s t nf ɪ l m ət s ʊ mʔ a p ʃ p iː l ə n
de,l aː d ə n
de,v a sɪ s ta k t uː ɛ l
de,f ɪ n d əd a sl iː t
de,v ɛ l ç əʔ aː l a ʁ m əh aː b əɪ ç‖
de,ʔ ɛ n d eː
de,ʃ t ɔ p ə n
de,ʔ ɛː ɐ t s ɛ la eː nəg ə ʃ ɪ ç t ə
de,ʃ t oː p ət iː m ɐ‖
de,m eː t ɐ
de,b ʊ n d ɛ s l a n t
de,z aː km ɪ td eː nʔ a k t uː ɛ l l ə
de,ʔ ɛː ɐ t s ɛ la eː nəm ɛ ɐ ç nf oː ɐ
de,v eː ɐh a td ɪ çʔ ɛː ɐ f ʊ n d ə n
de,l a eː n d ɛ n s t s h a f t
de,l oː sʔ a n g ə l ə st s a l iː f ɔ ʁ n iː a
de,ʔ a oː s v ɛ l ə n
de,z ʊ x ən aː xd eː ml iː t
de,ʃ a l t əa oː t oː m a t ɪ ʃ əl a oː t s t ɛ ʁ k əa eː n
de,z ɪ ŋ ə
de,ʔ ɛ n d ɐ əd iːb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,d uːv ɪ ʁ s tʔ a eː n ɪ g ə sl ɛ ʁ n ə n
de,ʔ ɛː ɐ t s ɛ l əm ɪ ʁn ɪ ç t sm eː ɐf ɔ nm a ɪ l
de,ʃ t oː p
de,z ʊ x əd a s
de,g a n t s əʔ a l b uː m
de,v a sh aː b əɪ çd iː ɐm ɪ t g ə t a eː l t‖
de,d ə a oː t ɛ n t iː t s a t ə
de,j aː v ɔ l l
de,v ɪ n t
de,ʃ a l t əd aɪ̯ n əʔ aʊ̯ g ŋb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,d ɪ ʁ t yː
de,n ɔ ɔʏ̯ ə ʃ t əd a t ə iː ə n
de,ʔ aʊ̯ p l a eːh oː l eːm oː ʊ n t a ɪ nb yːt əb a n ts l ə ə p
de,l eː b ə n
de,ɪ çb ʁ a oː x əʔ aɪ̯ n əv aɪ̯ s h aɪ̯ t
de,v a sm a x s td uː
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nf l ɪ k sʔ a k t ʊ l l əg ə ʃ p iː l t ə
de,m a χ əf oː iː pf a l l b a ks k ɪ l l
de,ʔ yː b ɛ ʁ p ʁ yː f əʔ ɛ m b yː
de,t s ɔ n f ɪ g uː ʁ a t s ɪ oː n
de,ʔ ɛː ɐ f a ʁ ʊ ŋ s p ʊ ŋ k t ə
de,v oːb ɪ s td uːg ə b oː ʁ ə n
de,v ɛ km ɪ çb aɪ̯z ɔ n n eː n a oː f g a ŋaʊ̯ f‖
de,ʔ ɔ ʁ d n ət͡s uː
de,g ə n uː k
de,ʔ ɛː ɐ h ɛ l l ə n
de,l a sm ɪ çl a x ə n
de,n ɪ ç tb ə l a eː d iː g ɛ n t
de,v iː d ɛ ʁ oː l ə
de,v a ʁ uː mv ɪ ʁ t
de,n ɔ ɔʏ̯ əʔ a k t iː v iː t ɛː t
de,k ɛ l t ə
de,v ɛ l ç ək a nɪ çɪ n s t a l iː ʁ ə n‖
de,s ɛ k s
de,ʔ ɛː ɐ t s ɛ la eː nm ɛ ɐ ç nf oː ɐ
de,ʔ ɛː ɐ t s ɛ la eː nəsm ɛ ɐ ç n
de,l ɪ ç t ɐ
de,ʔ ɛː ɐ t s ɛ l
de,l øː z eːa ʊ s
de,b ə n ʊ t s ɛ ʁ d eː f ɪ n iː ʁ t ə ns k ɪ l lh ɛ ʁ ʊ n t ɐ l aː d ə n
de,n oː d əʁ eː tz ɔ ln aː xm ʏ t s ʁ ɔ f ta n t v ɔ ʁ t ə n
de,a eː g ʁ ʊ p p ə n
de,f ɛː ɐ z ɪ oː n
de,v eː ɐt uː t
de,ʃ p oː t iː f eː
de,v a sz ɪ n td iːb ə l iː p t ɛ s t ə nm oː v iː ə sʔ a k t ʊ l l əg ə ʃ p iː l t ə
de,ʔ ɪ n iː t iː a t iː f ə
de,f a ŋ ʁ a t ə
de,ʔ ɛ n d ɐ əd aɪ̯ n əb ə l ɔ ɔʏ̯ ç t ʊ ŋ s
de,n ɔ ʁ m aː l
de,g ə v ɪ ç t
de,v a nɪ s tm aɪ̯ nn ɛː ç s t ɐa l a ʁ m‖
de,g ə d ɛ ç t n ɪ s
de,ʔ a n ʁ uː fʔ a oː f l eː g ə n
de,l øː z eːʔ a n ʁ uː f əa ʊ st s ʊ mʃ l ʊ s s
de,ʃ t aː t uː s
de,p a s v ɔ ʁ t
de,p l a t f ɔ ʁ mf ɛː ɐ z ɪ oː n
de,ʔ yː b ɛ ʁ p ʁ yː f əd iːʔ ɛ m b yːf ɛ ɐ b ɪ n d ʊ ŋ
de,ʃ p ʁ ɛ ç ə
de,v ɛ k əm ɪ çm ɔ ʁ g ə nf ʁ yːaʊ̯ f‖
de,aʊ̯ fʃ p oː t iː f eː
de,m aː k s iː m uː m
de,ʏ ɔ uː t uː b ə
de,k a n s td uːaʊ̯ xm aː lʔ a n d ɛ ʁ sa n t v ɔ ʁ t ə n
de,h ɛ l l ɪ k k a eː t z a eː n s t ɛ l l ʊ ŋ ə nʔ a n t s ə ɪ g ə n
